[[{'duration': 4.161, 'start': 0.919, 'text': 'AI한테 백엔드 만들어 달라고 했더니'},
  {'duration': 3.799, 'start': 3.0, 'text': '진짜로 만들어 줬어요. 근데 일주일'},
  {'duration': 3.4, 'start': 5.08, 'text': '뒤에 기능 하나 추가하려고 봤더니'},
  {'duration': 3.92, 'start': 6.799, 'text': '아무도 손댈 수가 없는 코드가 돼'},
  {'duration': 4.119, 'start': 8.48, 'text': '있었어요. 심지어 AI한테 다시'},
  {'duration': 4.12, 'start': 10.719, 'text': '물어봐도이 코드는 어떤 구조인지'},
  {'duration': 4.44, 'start': 12.599, 'text': '파악하기 어렵습니다라고 하더라고요.'},
  {'duration': 4.121, 'start': 14.839, 'text': '있잖아요. 같은 AI를 써도 어떤'},
  {'duration': 3.881, 'start': 17.039, 'text': '팀은 AI가 거의 완벽한 코드를'},
  {'duration': 4.479, 'start': 18.96, 'text': '뽑아냈고 어떤 팀은 AI가 만든'},
  {'duration': 4.08, 'start': 20.92, 'text': '코드를 또 AI한테 고쳐 달라고 하는'},
  {'duration': 4.0, 'start': 23.439, 'text': '악순환에 빠져요. 차이가 뭔지'},
  {'duration': 4.8, 'start': 25.0, 'text': '아세요? 코드를 담아두는 구조예요.'},
  {'duration': 5.201, 'start': 27.439, 'text': 'AI가 잘 작동하는 구조가 있어요.'},
  {'duration': 5.12, 'start': 29.8, 'text': '오늘은 그게 왜 도메인드로먼'},
  {'duration': 4.04, 'start': 32.64, 'text': 'DDD인지 개발 모르시는 분들도'},
  {'duration': 4.12, 'start': 34.92, 'text': '완전히 이해하실 수 있도록 풀어'},
  {'duration': 4.64, 'start': 36.68, 'text': '드릴게요. 아, 그리고 구독자 이벤트'},
  {'duration': 4.4, 'start': 39.04, 'text': '진행할 예정이니 영상 끝까지 집중'},
  {'duration': 4.48, 'start': 41.32, 'text': '부탁드립니다. 바이브 코딩이 뭔지'},
  {'duration': 4.72, 'start': 43.44, 'text': '아시죠? 예전에는 개발자가 코드를 한'},
  {'duration': 4.759, 'start': 45.8, 'text': '줄 한 줄 다 직접 썼어요. 지금은'},
  {'duration': 5.0, 'start': 48.16, 'text': 'AI한테 말로 설명하면 AI가 코드를'},
  {'duration': 4.68, 'start': 50.559, 'text': '대신 짜 줘요. 개발자가 이런 기능'},
  {'duration': 4.0, 'start': 53.16, 'text': '필요해라는 방향만 잡아 주면 되는'},
  {'duration': 3.84, 'start': 55.239, 'text': '거죠. 근데 솔직히 말씀드릴게요.'},
  {'duration': 3.76, 'start': 57.16, 'text': '실제로 써 보면 처음엔 신기한데 이런'},
  {'duration': 4.361, 'start': 59.079, 'text': '경험하시게 돼요. 회원 가입 만들어'},
  {'duration': 4.199, 'start': 60.92, 'text': '줘 됩니다. 결제 기능 추가해 줘.이'},
  {'duration': 3.32, 'start': 63.44, 'text': '두 개 연결해 줘. AI가 뭔가'},
  {'duration': 3.801, 'start': 65.119, 'text': '이상한 걸 만들기 시작해요. 왜 이런'},
  {'duration': 3.64, 'start': 66.76, 'text': '일이 생기냐면요. AI는 맵은 조금씩'},
  {'duration': 3.36, 'start': 68.92, 'text': '다른 방식으로 코드를 만들어요.'},
  {'duration': 4.039, 'start': 70.4, 'text': '정해진 틀이 없으면요. 코드 구조'},
  {'duration': 4.159, 'start': 72.28, 'text': '없이 AI를 그냥 쓰면 열 줄 중에'},
  {'duration': 4.32, 'start': 74.439, 'text': '여섯 줄이 나중에 문제가 되는 코드가'},
